Date,unix,symbol,open,high,low,close,Volume BTC,Volume USD,ret_1d,SMA_10,SMA_20,EMA_10,EMA_20,RSI_14,BB_upper,BB_lower,vol_14d
2022-03-01,1646092800,BTC/USD,43221.71,43626.49,43185.48,43185.48,49.0062887,2116360.1005280763,,,,43185.48,43185.48,,,,
2022-02-28,1646006400,BTC/USD,37717.1,44256.08,37468.99,43178.98,3160.61807044,136472264.45116737,-0.0001505135522402723,,,43184.29818181818,43184.86095238096,,,,
2022-02-27,1645920000,BTC/USD,39146.66,39886.92,37015.74,37712.68,1701.81704307,64180081.56384513,-0.1265963207097528,,,42189.45851239669,42663.70086167801,,,,
2022-02-26,1645833600,BTC/USD,39242.64,40330.99,38600.0,39146.66,912.7240869,35730099.50368476,0.038023815862463284,,,41636.22241923365,42328.74458913725,,,,
2022-02-25,1645747200,BTC/USD,38360.93,39727.97,38027.61,39231.64,2202.85182731,86421489.86236808,0.0021708109963913813,,,41199.025615736624,42033.78224731465,,,,
2022-02-24,1645660800,BTC/USD,37253.26,39720.0,34324.05,38376.88,6302.85095659,241883754.81893963,-0.021787516402577145,,,40685.908231057234,41685.505842808496,,,,
2022-02-23,1645574400,BTC/USD,38269.94,39303.24,37060.16,37274.18,1778.27525833,66283752.06853892,-0.02873344576213588,,,40065.59400722865,41265.37957206483,,,,
2022-02-22,1645488000,BTC/USD,37036.98,38463.88,36368.99,38269.94,2388.75903515,91417664.9496484,0.026714470982326155,,,39739.1114604598,40980.09961282056,,,,
2022-02-21,1645401600,BTC/USD,38384.09,39494.11,36810.72,37076.6,3501.42036418,129820762.27455616,-0.031182175880077212,,,39255.01846764892,40608.337744932884,,,,
2022-02-20,1645315200,BTC/USD,40108.62,40151.62,37974.18,38373.9,1283.5115474,49253343.768772855,0.034989723976847964,39182.694,,39094.815109894575,40395.53415017737,,,,
2022-02-19,1645228800,BTC/USD,40008.75,40471.27,39587.08,40109.02,695.654296,27902012.07134992,0.04521614951829234,38875.048,,39279.21599900465,40368.24708825572,,,,
2022-02-18,1645142400,BTC/USD,40532.66,40996.31,39450.0,39996.99,2212.7149201,88501936.5320905,-0.0027931373042772156,38556.849,,39409.72036282198,40332.8892703266,,,,
2022-02-17,1645056000,BTC/USD,43901.49,44204.78,40088.88,40556.11,2437.49036088,98855127.19978896,0.013979051923657337,38841.191999999995,,39618.15484230889,40354.148387438356,,,,
