Algorithm,Train_mean,Train_std,Test_mean,Test_std
ABC,22784.571260894605,2900.2527796292384,2682.51819645335,935.5480975673431
PSO,26777.803904550114,2578.9836887250804,1894.7982978775576,326.5768098349869
PSO-SA,26580.381266072753,2561.5311748790277,2449.416965185565,629.7592895834791
